"Plot Title: FCR20_20250421_2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2407064, SEN S/N: 2407064)","Good Battery (LGR S/N: 2407064)","Bad Battery (LGR S/N: 2407064)","Coupler Attached (LGR S/N: 2407064)","Coupler Detached (LGR S/N: 2407064)","Host Connected (LGR S/N: 2407064)","Stopped (LGR S/N: 2407064)","End Of File (LGR S/N: 2407064)"
449,04/24/25 04:30:00 PM,11.041,,,,,,,
450,04/24/25 04:40:00 PM,11.041,,,,,,,
451,04/24/25 04:50:00 PM,11.041,,,,,,,
452,04/24/25 05:00:00 PM,11.041,,,,,,,
453,04/24/25 05:10:00 PM,11.041,,,,,,,
454,04/24/25 05:20:00 PM,10.944,,,,,,,
455,04/24/25 05:30:00 PM,11.041,,,,,,,
456,04/24/25 05:40:00 PM,10.944,,,,,,,
457,04/24/25 05:50:00 PM,10.944,,,,,,,
458,04/24/25 06:00:00 PM,11.041,,,,,,,
459,04/24/25 06:10:00 PM,10.944,,,,,,,
460,04/24/25 06:20:00 PM,11.041,,,,,,,
461,04/24/25 06:30:00 PM,11.041,,,,,,,
462,04/24/25 06:40:00 PM,10.944,,,,,,,
463,04/24/25 06:50:00 PM,10.944,,,,,,,
